"O_004.SPC"
"WL/nm","Abs"
900.00,0.028
899.50,0.028
899.00,0.028
898.50,0.028
898.00,0.028
897.50,0.028
897.00,0.028
896.50,0.029
896.00,0.029
895.50,0.029
895.00,0.029
894.50,0.029
894.00,0.029
893.50,0.029
893.00,0.029
892.50,0.029
892.00,0.029
891.50,0.029
891.00,0.029
890.50,0.029
890.00,0.029
889.50,0.029
889.00,0.030
888.50,0.030
888.00,0.030
887.50,0.030
887.00,0.030
886.50,0.030
886.00,0.030
885.50,0.030
885.00,0.030
884.50,0.030
884.00,0.030
883.50,0.030
883.00,0.030
882.50,0.030
882.00,0.030
881.50,0.031
881.00,0.031
880.50,0.031
880.00,0.031
879.50,0.031
879.00,0.031
878.50,0.031
878.00,0.031
877.50,0.031
877.00,0.031
876.50,0.031
876.00,0.031
875.50,0.031
875.00,0.031
874.50,0.031
874.00,0.032
873.50,0.032
873.00,0.032
872.50,0.032
872.00,0.032
871.50,0.032
871.00,0.032
870.50,0.032
870.00,0.032
869.50,0.032
869.00,0.032
868.50,0.032
868.00,0.032
867.50,0.032
867.00,0.032
866.50,0.032
866.00,0.033
865.50,0.033
865.00,0.033
864.50,0.033
864.00,0.033
863.50,0.033
863.00,0.033
862.50,0.033
862.00,0.033
861.50,0.033
861.00,0.033
860.50,0.033
860.00,0.033
859.50,0.033
859.00,0.034
858.50,0.034
858.00,0.034
857.50,0.034
857.00,0.034
856.50,0.034
856.00,0.034
855.50,0.034
855.00,0.034
854.50,0.034
854.00,0.034
853.50,0.035
853.00,0.035
852.50,0.035
852.00,0.035
851.50,0.035
851.00,0.035
850.50,0.035
850.00,0.035
849.50,0.035
849.00,0.035
848.50,0.036
848.00,0.036
847.50,0.036
847.00,0.036
846.50,0.036
846.00,0.036
845.50,0.036
845.00,0.036
844.50,0.036
844.00,0.036
843.50,0.036
843.00,0.037
842.50,0.037
842.00,0.037
841.50,0.037
841.00,0.037
840.50,0.037
840.00,0.037
839.50,0.037
839.00,0.037
838.50,0.037
838.00,0.038
837.50,0.038
837.00,0.038
836.50,0.038
836.00,0.038
835.50,0.038
835.00,0.038
834.50,0.038
834.00,0.038
833.50,0.038
833.00,0.039
832.50,0.039
832.00,0.039
831.50,0.039
831.00,0.039
830.50,0.039
830.00,0.039
829.50,0.039
829.00,0.039
828.50,0.040
828.00,0.040
827.50,0.040
827.00,0.040
826.50,0.040
826.00,0.040
825.50,0.040
825.00,0.040
824.50,0.040
824.00,0.041
823.50,0.041
823.00,0.041
822.50,0.041
822.00,0.041
821.50,0.041
821.00,0.041
820.50,0.041
820.00,0.041
819.50,0.042
819.00,0.042
818.50,0.042
818.00,0.042
817.50,0.042
817.00,0.042
816.50,0.042
816.00,0.042
815.50,0.042
815.00,0.043
814.50,0.043
814.00,0.043
813.50,0.043
813.00,0.043
812.50,0.043
812.00,0.043
811.50,0.043
811.00,0.043
810.50,0.044
810.00,0.044
809.50,0.044
809.00,0.044
808.50,0.044
808.00,0.044
807.50,0.044
807.00,0.044
806.50,0.044
806.00,0.045
805.50,0.045
805.00,0.045
804.50,0.045
804.00,0.045
803.50,0.045
803.00,0.045
802.50,0.046
802.00,0.046
801.50,0.046
801.00,0.046
800.50,0.046
800.00,0.046
799.50,0.046
799.00,0.047
798.50,0.047
798.00,0.047
797.50,0.047
797.00,0.047
796.50,0.047
796.00,0.047
795.50,0.048
795.00,0.048
794.50,0.048
794.00,0.048
793.50,0.048
793.00,0.048
792.50,0.048
792.00,0.049
791.50,0.049
791.00,0.049
790.50,0.049
790.00,0.049
789.50,0.049
789.00,0.049
788.50,0.050
788.00,0.050
787.50,0.050
787.00,0.050
786.50,0.050
786.00,0.050
785.50,0.050
785.00,0.050
784.50,0.051
784.00,0.051
783.50,0.051
783.00,0.051
782.50,0.051
782.00,0.051
781.50,0.052
781.00,0.052
780.50,0.052
780.00,0.052
779.50,0.052
779.00,0.052
778.50,0.053
778.00,0.053
777.50,0.053
777.00,0.053
776.50,0.053
776.00,0.053
775.50,0.054
775.00,0.054
774.50,0.054
774.00,0.054
773.50,0.054
773.00,0.055
772.50,0.055
772.00,0.055
771.50,0.055
771.00,0.055
770.50,0.055
770.00,0.056
769.50,0.056
769.00,0.056
768.50,0.056
768.00,0.056
767.50,0.056
767.00,0.057
766.50,0.057
766.00,0.057
