"T_003.SPC"
"WL/nm","Abs"
900.00,0.023
899.50,0.023
899.00,0.023
898.50,0.023
898.00,0.023
897.50,0.023
897.00,0.023
896.50,0.023
896.00,0.024
895.50,0.024
895.00,0.024
894.50,0.024
894.00,0.024
893.50,0.024
893.00,0.024
892.50,0.024
892.00,0.024
891.50,0.024
891.00,0.024
890.50,0.024
890.00,0.025
889.50,0.025
889.00,0.025
888.50,0.025
888.00,0.025
887.50,0.025
887.00,0.025
886.50,0.025
886.00,0.025
885.50,0.025
885.00,0.025
884.50,0.025
884.00,0.026
883.50,0.026
883.00,0.026
882.50,0.026
882.00,0.026
881.50,0.026
881.00,0.026
880.50,0.026
880.00,0.026
879.50,0.026
879.00,0.027
878.50,0.027
878.00,0.027
877.50,0.027
877.00,0.027
876.50,0.027
876.00,0.027
875.50,0.027
875.00,0.027
874.50,0.027
874.00,0.028
873.50,0.028
873.00,0.028
872.50,0.028
872.00,0.028
871.50,0.028
871.00,0.028
870.50,0.028
870.00,0.028
869.50,0.028
869.00,0.029
868.50,0.029
868.00,0.029
867.50,0.029
867.00,0.029
866.50,0.029
866.00,0.029
865.50,0.029
865.00,0.029
864.50,0.029
864.00,0.030
863.50,0.030
863.00,0.030
862.50,0.030
862.00,0.030
861.50,0.030
861.00,0.030
860.50,0.030
860.00,0.030
859.50,0.031
859.00,0.031
858.50,0.031
858.00,0.031
857.50,0.031
857.00,0.031
856.50,0.031
856.00,0.031
855.50,0.032
855.00,0.032
854.50,0.032
854.00,0.032
853.50,0.032
853.00,0.032
852.50,0.032
852.00,0.032
851.50,0.033
851.00,0.033
850.50,0.033
850.00,0.033
849.50,0.033
849.00,0.033
848.50,0.033
848.00,0.033
847.50,0.034
847.00,0.034
846.50,0.034
846.00,0.034
845.50,0.034
845.00,0.034
844.50,0.034
844.00,0.034
843.50,0.035
843.00,0.035
842.50,0.035
842.00,0.035
841.50,0.035
841.00,0.035
840.50,0.035
840.00,0.036
839.50,0.036
839.00,0.036
838.50,0.036
838.00,0.036
837.50,0.036
837.00,0.037
836.50,0.037
836.00,0.037
835.50,0.037
835.00,0.037
834.50,0.037
834.00,0.037
833.50,0.038
833.00,0.038
832.50,0.038
832.00,0.038
831.50,0.038
831.00,0.038
830.50,0.038
830.00,0.039
829.50,0.039
829.00,0.039
828.50,0.039
828.00,0.039
827.50,0.039
827.00,0.040
826.50,0.040
826.00,0.040
825.50,0.040
825.00,0.040
824.50,0.040
824.00,0.040
823.50,0.041
823.00,0.041
822.50,0.041
822.00,0.041
821.50,0.041
821.00,0.042
820.50,0.042
820.00,0.042
819.50,0.042
819.00,0.042
818.50,0.042
818.00,0.043
817.50,0.043
817.00,0.043
816.50,0.043
816.00,0.043
815.50,0.043
815.00,0.044
814.50,0.044
814.00,0.044
813.50,0.044
813.00,0.044
812.50,0.045
812.00,0.045
811.50,0.045
811.00,0.045
810.50,0.045
810.00,0.046
809.50,0.046
809.00,0.046
808.50,0.046
808.00,0.046
807.50,0.047
807.00,0.047
806.50,0.047
806.00,0.047
805.50,0.047
805.00,0.048
804.50,0.048
804.00,0.048
803.50,0.048
803.00,0.048
802.50,0.049
802.00,0.049
801.50,0.049
801.00,0.049
800.50,0.050
800.00,0.050
799.50,0.050
799.00,0.050
798.50,0.050
798.00,0.051
797.50,0.051
797.00,0.051
796.50,0.051
796.00,0.052
795.50,0.052
795.00,0.052
794.50,0.052
794.00,0.053
793.50,0.053
793.00,0.053
792.50,0.053
792.00,0.054
791.50,0.054
791.00,0.054
790.50,0.054
790.00,0.055
789.50,0.055
789.00,0.055
788.50,0.055
788.00,0.056
787.50,0.056
787.00,0.056
786.50,0.056
786.00,0.057
785.50,0.057
785.00,0.057
784.50,0.057
784.00,0.058
783.50,0.058
783.00,0.058
782.50,0.059
782.00,0.059
781.50,0.059
781.00,0.059
780.50,0.060
780.00,0.060
779.50,0.060
779.00,0.061
778.50,0.061
778.00,0.061
777.50,0.062
777.00,0.062
776.50,0.062
776.00,0.062
775.50,0.063
775.00,0.063
774.50,0.063
774.00,0.064
773.50,0.064
773.00,0.064
772.50,0.065
772.00,0.065
771.50,0.065
771.00,0.066
770.50,0.066
770.00,0.067
769.50,0.067
769.00,0.067
