"T_004.SPC"
"WL/nm","Abs"
701.50,0.458
701.00,0.463
700.50,0.468
700.00,0.474
699.50,0.479
699.00,0.485
698.50,0.490
698.00,0.496
697.50,0.502
697.00,0.508
696.50,0.513
696.00,0.520
695.50,0.526
695.00,0.532
694.50,0.538
694.00,0.544
693.50,0.551
693.00,0.557
692.50,0.564
692.00,0.571
691.50,0.577
691.00,0.585
690.50,0.592
690.00,0.599
689.50,0.607
689.00,0.614
688.50,0.622
688.00,0.629
687.50,0.637
687.00,0.645
686.50,0.654
686.00,0.662
685.50,0.671
685.00,0.679
684.50,0.687
684.00,0.697
683.50,0.706
683.00,0.716
682.50,0.725
682.00,0.735
681.50,0.745
681.00,0.755
680.50,0.765
680.00,0.775
679.50,0.785
679.00,0.795
678.50,0.806
678.00,0.816
677.50,0.828
677.00,0.839
676.50,0.851
676.00,0.863
675.50,0.875
675.00,0.887
674.50,0.900
674.00,0.912
673.50,0.925
673.00,0.938
672.50,0.951
672.00,0.964
671.50,0.978
671.00,0.992
670.50,1.006
670.00,1.020
669.50,1.034
669.00,1.048
668.50,1.063
668.00,1.077
667.50,1.093
667.00,1.108
666.50,1.124
666.00,1.141
665.50,1.157
665.00,1.173
664.50,1.190
664.00,1.207
663.50,1.224
663.00,1.241
662.50,1.259
662.00,1.276
661.50,1.295
661.00,1.313
660.50,1.331
660.00,1.350
659.50,1.369
659.00,1.389
658.50,1.409
658.00,1.430
657.50,1.450
657.00,1.471
656.50,1.491
656.00,1.513
655.50,1.534
655.00,1.556
654.50,1.577
654.00,1.599
653.50,1.620
653.00,1.643
652.50,1.665
652.00,1.688
651.50,1.710
651.00,1.733
650.50,1.754
650.00,1.777
649.50,1.800
649.00,1.823
648.50,1.846
648.00,1.868
647.50,1.890
647.00,1.911
646.50,1.934
646.00,1.956
645.50,1.978
645.00,1.999
644.50,2.019
644.00,2.041
643.50,2.062
643.00,2.084
642.50,2.104
642.00,2.125
641.50,2.144
641.00,2.163
640.50,2.182
640.00,2.200
639.50,2.219
639.00,2.235
638.50,2.253
638.00,2.268
637.50,2.284
637.00,2.299
636.50,2.315
636.00,2.329
635.50,2.343
