"O_003.SPC"
"WL/nm","Abs"
701.50,0.045
701.00,0.045
700.50,0.046
700.00,0.046
699.50,0.046
699.00,0.046
698.50,0.047
698.00,0.047
697.50,0.047
697.00,0.048
696.50,0.048
696.00,0.048
695.50,0.049
695.00,0.049
694.50,0.049
694.00,0.049
693.50,0.050
693.00,0.050
692.50,0.050
692.00,0.051
691.50,0.051
691.00,0.051
690.50,0.052
690.00,0.052
689.50,0.052
689.00,0.053
688.50,0.053
688.00,0.053
687.50,0.054
687.00,0.054
686.50,0.054
686.00,0.055
685.50,0.055
685.00,0.056
684.50,0.056
684.00,0.056
683.50,0.057
683.00,0.057
682.50,0.058
682.00,0.058
681.50,0.058
681.00,0.059
680.50,0.059
680.00,0.060
679.50,0.060
679.00,0.061
678.50,0.061
678.00,0.061
677.50,0.062
677.00,0.062
676.50,0.063
676.00,0.063
675.50,0.064
675.00,0.064
674.50,0.065
674.00,0.065
673.50,0.066
673.00,0.067
672.50,0.067
672.00,0.068
671.50,0.068
671.00,0.069
670.50,0.069
670.00,0.070
669.50,0.070
669.00,0.071
668.50,0.071
668.00,0.072
667.50,0.073
667.00,0.073
666.50,0.074
666.00,0.075
665.50,0.075
665.00,0.076
664.50,0.076
664.00,0.077
663.50,0.078
663.00,0.078
662.50,0.079
662.00,0.080
661.50,0.081
661.00,0.081
660.50,0.082
660.00,0.083
659.50,0.084
659.00,0.084
658.50,0.085
658.00,0.086
657.50,0.087
657.00,0.088
656.50,0.088
656.00,0.089
655.50,0.090
655.00,0.091
654.50,0.092
654.00,0.093
653.50,0.094
653.00,0.095
652.50,0.095
652.00,0.096
651.50,0.097
651.00,0.098
650.50,0.099
650.00,0.100
649.50,0.101
649.00,0.102
648.50,0.103
648.00,0.104
647.50,0.106
647.00,0.107
646.50,0.108
646.00,0.109
645.50,0.110
645.00,0.111
644.50,0.112
644.00,0.113
643.50,0.115
643.00,0.116
642.50,0.117
642.00,0.118
641.50,0.120
641.00,0.121
640.50,0.122
640.00,0.124
639.50,0.125
639.00,0.126
638.50,0.128
638.00,0.129
637.50,0.131
637.00,0.132
636.50,0.134
636.00,0.135
635.50,0.137
635.00,0.139
634.50,0.140
634.00,0.142
633.50,0.144
633.00,0.145
632.50,0.147
632.00,0.149
631.50,0.151
631.00,0.152
630.50,0.154
630.00,0.156
629.50,0.158
629.00,0.160
628.50,0.162
628.00,0.164
627.50,0.166
627.00,0.169
626.50,0.171
626.00,0.173
625.50,0.175
625.00,0.177
624.50,0.180
624.00,0.182
623.50,0.185
623.00,0.187
622.50,0.189
622.00,0.192
621.50,0.194
621.00,0.197
620.50,0.200
620.00,0.202
619.50,0.205
619.00,0.208
618.50,0.211
618.00,0.214
617.50,0.217
617.00,0.220
616.50,0.223
616.00,0.226
615.50,0.229
615.00,0.233
614.50,0.236
614.00,0.240
613.50,0.243
613.00,0.246
612.50,0.250
612.00,0.254
611.50,0.258
611.00,0.262
610.50,0.266
610.00,0.270
609.50,0.274
609.00,0.278
608.50,0.282
608.00,0.287
607.50,0.291
607.00,0.296
606.50,0.300
606.00,0.305
605.50,0.310
605.00,0.314
604.50,0.320
604.00,0.325
603.50,0.330
603.00,0.335
602.50,0.340
602.00,0.346
601.50,0.352
601.00,0.357
600.50,0.362
600.00,0.368
599.50,0.374
599.00,0.380
598.50,0.386
598.00,0.392
597.50,0.398
597.00,0.404
596.50,0.410
596.00,0.417
595.50,0.424
595.00,0.430
594.50,0.437
594.00,0.444
593.50,0.451
593.00,0.457
592.50,0.465
592.00,0.472
591.50,0.479
591.00,0.487
590.50,0.494
590.00,0.501
589.50,0.509
589.00,0.516
588.50,0.524
588.00,0.533
587.50,0.540
587.00,0.549
586.50,0.557
586.00,0.565
585.50,0.574
585.00,0.582
584.50,0.590
584.00,0.598
583.50,0.606
583.00,0.614
582.50,0.623
582.00,0.631
581.50,0.640
581.00,0.649
580.50,0.658
580.00,0.667
579.50,0.676
579.00,0.684
578.50,0.693
578.00,0.702
577.50,0.710
577.00,0.719
576.50,0.727
576.00,0.737
575.50,0.745
575.00,0.753
574.50,0.762
574.00,0.770
573.50,0.778
573.00,0.787
572.50,0.795
572.00,0.803
571.50,0.811
571.00,0.819
570.50,0.827
570.00,0.835
569.50,0.843
569.00,0.850
568.50,0.858
568.00,0.865
567.50,0.872
567.00,0.879
566.50,0.885
566.00,0.892
565.50,0.898
565.00,0.903
564.50,0.909
564.00,0.915
563.50,0.920
563.00,0.925
562.50,0.930
562.00,0.935
561.50,0.939
561.00,0.942
560.50,0.946
560.00,0.949
559.50,0.952
559.00,0.954
558.50,0.957
558.00,0.959
557.50,0.960
557.00,0.961
556.50,0.962
556.00,0.962
555.50,0.963
555.00,0.962
554.50,0.962
554.00,0.961
553.50,0.960
553.00,0.958
552.50,0.957
552.00,0.955
551.50,0.952
551.00,0.950
550.50,0.947
550.00,0.944
549.50,0.941
549.00,0.937
548.50,0.933
548.00,0.930
547.50,0.926
547.00,0.921
546.50,0.917
546.00,0.912
545.50,0.908
545.00,0.903
544.50,0.898
544.00,0.893
543.50,0.887
543.00,0.882
542.50,0.877
542.00,0.872
541.50,0.866
541.00,0.860
540.50,0.854
540.00,0.849
539.50,0.843
539.00,0.837
538.50,0.831
538.00,0.825
537.50,0.819
537.00,0.813
536.50,0.807
536.00,0.802
535.50,0.797
535.00,0.791
534.50,0.785
534.00,0.779
533.50,0.773
533.00,0.767
532.50,0.761
532.00,0.755
531.50,0.749
531.00,0.743
530.50,0.736
530.00,0.731
529.50,0.726
529.00,0.720
528.50,0.714
528.00,0.708
527.50,0.703
527.00,0.697
526.50,0.691
526.00,0.686
525.50,0.681
